Day,R439 1-C,R439 2-C,R439 3-C,R181 1-C,R181 2-C,R181 3-C,CS 1-C,CS 2-C,CS 3-C,YW 1-C,YW 2-C,YW 3-C,Midway 1-C,Midway 2-C,Midway 3-C
0,5/5,5/5,5/5,5/5,5/5,5/5,5/5,5/5,5/5,5/5,5/5,5/5,5/5,5/5,5/5
3,5/5,5/5,5/5,5/5,5/5,5/5,5/5,5/5,5/5,5/5,5/5,5/5,5/2,4/5,5/5
6,5/5,5/5,5/5,5/5,5/5,5/5,5/5,5/5,5/5,5/5,5/5,5/5,5/2,4/5,5/5
9,5/5,5/5,5/5,5/5,5/5,5/5,5/5,5/5,5/5,5/5,5/5,5/5,5/2,4/5,5/5
12,5/5,4/5,5/5,5/5,5/5,5/5,5/5,5/5,5/5,5/5,5/5,5/5,5/2,4/5,5/5
15,5/5,4/5,5/5,5/5,5/5,5/5,5/5,5/5,5/5,5/5,5/5,5/5,5/2,4/5,5/5
18,5/5,4/5,5/5,5/5,5/5,5/5,5/5,5/5,5/5,5/5,5/5,5/5,5/2,4/5,5/5
21,5/5,4/5,5/5,5/5,5/5,5/5,5/5,5/4,5/5,5/5,5/5,5/5,5/2,4/5,5/5
24,5/4,4/5,5/5,5/5,5/5,5/5,5/5,5/4,5/5,5/5,5/5,5/5,5/1,4/3,5/4
27,5/4,4/5,5/5,5/5,5/5,5/5,5/5,5/4,5/5,5/5,5/5,5/5,5/1,3/3,5/4
30,5/4,4/5,5/5,4/3,5/4,4/2,5/5,5/2,4/4,5/5,5/5,5/5,5/0,3/1,5/0
33,5/4,4/5,5/5,4/3,5/4,4/2,5/2,5/2,4/4,5/4,5/5,5/5,4/0,3/1,5/0
36,5/4,4/5,5/5,4/3,5/3,4/2,5/1,5/2,3/4,5/4,5/2,5/5,4/0,3/0,5/0
39,5/4,4/5,5/5,2/3,5/2,4/0,4/0,5/1,2/3,5/4,5/2,3/4,2/0,2/0,4/0
42,4/4,4/5,5/5,2/3,5/2,2/0,4/0,5/1,2/3,2/3,4/1,2/3,1/0,1/0,2/0
45,3/3,3/4,2/4,1/1,4/1,2/0,3/0,4/0,2/2,2/0,2/1,1/3,1/0,1/0,1/0
48,1/3,3/4,2/4,1/0,4/0,1/0,1/0,2/0,1/2,2/0,1/1,1/2,1/0,1/0,1/0
51,0/3,2/2,1/3,1/0,3/0,1/0,1/0,1/0,1/0,2/0,0/1,1/1,1/0,1/0,0/0
54,0/0,1/2,0/3,0/0,3/0,1/0,1/0,0/0,0/0,1/0,0/1,1/1,0/0,0/0,0/0
57,0/0,0/0,0/1,0/0,1/0,0/0,0/0,0/0,0/0,1/0,0/0,0/0,0/0,0/0,0/0
60,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,1/0,0/0,0/0,0/0,0/0,0/0
63,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,1/0,0/0,0/0,0/0,0/0,0/0
66,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
69,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
72,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0